▓╬нp┤┴,╡╣еI║╪├■/ж╤ж~╡╣еI,
104ж~ 12ды,9427,9569161
105ж~ 1ды,10966,12114312
105ж~ 2ды,4599,4742594
105ж~ 3ды,10325,10694427
105ж~ 4ды,9954,10631020
105ж~ 5ды,9629,10036535
105ж~ 6ды,9148,9919163
105ж~ 7ды,10626,11830430
105ж~ 8ды,10279,9860716
105ж~ 9ды,8656,8734329
105ж~ 10ды,9816,9980709
105ж~ 11ды,9937,9808243
105ж~ 12ды,10600,11283563
106ж~ 1ды,11098,12976286
106ж~ 2ды,9204,10245289
106ж~ 3ды,13828,15354672
106ж~ 4ды,10726,11870647
106ж~ 5ды,11858,12843168
106ж~ 6ды,12634,14099605
106ж~ 7ды,13197,15480939
106ж~ 8ды,11848,12166532
106ж~ 9ды,10775,11362024
106ж~ 10ды,9842,10258202
106ж~ 11ды,10582,10455596
106ж~ 12ды,9406,9764689
107ж~ 1ды,12156,13622754
107ж~ 2ды,5716,5980715
107ж~ 3ды,9979,10776182
107ж~ 4ды,8265,9181489
107ж~ 5ды,10103,11017582
107ж~ 6ды,8144,9205134
107ж~ 7ды,10675,12626973
107ж~ 8ды,10229,11342506
107ж~ 9ды,7667,8671463
107ж~ 10ды,9759,11028890
107ж~ 11ды,8178,8966090
107ж~ 12ды,8062,8902440
108ж~ 1ды,10962,12308875
108ж~ 2ды,6322,6479354
108ж~ 3ды,10272,11107279
108ж~ 4ды,9556,10372069
108ж~ 5ды,10473,11260178
108ж~ 6ды,8386,9440625
108ж~ 7ды,11206,12339682
108ж~ 8ды,9024,9465514
108ж~ 9ды,7490,7822302
108ж~ 10ды,9706,10010411
108ж~ 11ды,8160,7995429
108ж~ 12ды,9119,9258385
109ж~ 1ды,8236,9006446
109ж~ 2ды,7405,7895828
109ж~ 3ды,8825,10277893
109ж~ 4ды,8121,9703840
109ж~ 5ды,7555,8248084
109ж~ 6ды,7946,9192110
109ж~ 7ды,9968,11974157
109ж~ 8ды,7718,8676691
109ж~ 9ды,11457,14571295
109ж~ 10ды,9933,12466747
109ж~ 11ды,9468,10821656
109ж~ 12ды,9234,10499354
110ж~ 1ды,9070,10614409
110ж~ 2ды,5540,5611364
110ж~ 3ды,9768,10373167
110ж~ 4ды,9002,9744955
110ж~ 5ды,7267,7886199
110ж~ 6ды,5291,6040788
110ж~ 7ды,8360,9755594
110ж~ 8ды,8649,8886422
110ж~ 9ды,7674,8149103
110ж~ 10ды,7749,8498430
110ж~ 11ды,7584,7820822
110ж~ 12ды,7692,8091133
111ж~ 1ды,8094,9279810
111ж~ 2ды,4609,5065768
111ж~ 3ды,8190,9543647
111ж~ 4ды,6683,7736087
111ж~ 5ды,6855,7400226
111ж~ 6ды,5730,6371097
111ж~ 7ды,8206,9044889
111ж~ 8ды,7873,8035217
111ж~ 9ды,7175,7074083
111ж~ 10ды,7060,7045823
111ж~ 11ды,7520,7285681
111ж~ 12ды,7553,7248116
112ж~ 1ды,5797,6096714
112ж~ 2ды,7809,7048051
112ж~ 3ды,10888,9590861
112ж~ 4ды,8717,8016861
112ж~ 5ды,9869,8986380
112ж~ 6ды,8343,7912984
112ж~ 7ды,9736,9501670
112ж~ 8ды,9004,7874294
112ж~ 9ды,8312,7375925
112ж~ 10ды,7480,6823525
112ж~ 11ды,8023,7075761
112ж~ 12ды,7447,6464004
113ж~ 1ды,8879,8646707
113ж~ 2ды,5229,4217049
113ж~ 3ды,8115,7540411
113ж~ 4ды,7780,7567011
113ж~ 5ды,8485,8223649
113ж~ 6ды,6602,6660208
113ж~ 7ды,8291,8418029
113ж~ 8ды,8096,7734154
113ж~ 9ды,7027,6634402
113ж~ 10ды,6812,6549213
113ж~ 11ды,7163,6424948
113ж~ 12ды,6853,6564233
114ж~ 1ды,5918,6127568
114ж~ 2ды,6681,5988154
114ж~ 3ды,7734,7726933
114ж~ 4ды,7841,8154040
114ж~ 5ды,7449,7399520
114ж~ 6ды,8457,8916478
114ж~ 7ды,9655,10246296
114ж~ 8ды,7763,7536120
114ж~ 9ды,7412,7199938
114ж~ 10ды,7377,7133884
114ж~ 11ды,6529,6376077
114ж~ 12ды,8270,7926208
115ж~ 1ды,8516,8744987
115ж~ 2ды,4052,3481276
115ж~ 3ды,7651,7718315
115ж~ 4ды,7486,8029626
115ж~ 5ды,7105,7437350
